name,type,value,date
Aphromoo,CLG,5.0,2013 LCS 北美春季赛
Aphromoo,CLG,3.7,2013 LCS 北美春季赛
bigfatlp,CLG,3.6,2013 LCS 北美春季赛
HotshotGG,CLG,2.8,2013 LCS 北美春季赛
Link,CLG,4.4,2013 LCS 北美春季赛
Link,CLG,4.3,2013 LCS 北美春季赛
Doublelift,CLG,4.0,2013 LCS 北美春季赛
Doublelift,CLG,3.3,2013 LCS 北美春季赛
Chauster,CLG,2.8,2013 LCS 北美春季赛
Saintvicious,CRS,3.9,2013 LCS 北美春季赛
Cop,CRS,8.1,2013 LCS 北美春季赛
NyJacky,CRS,4.2,2013 LCS 北美春季赛
Elementz,CRS,5.3,2013 LCS 北美春季赛
Voyboy,CRS,4.0,2013 LCS 北美春季赛
Rhux,CRS,3.3,2013 LCS 北美春季赛
Aphromoo,CLG,5.0,2013 LCS 北美春季赛
Aphromoo,CLG,3.7,2013 LCS 北美春季赛
bigfatlp,CLG,3.6,2013 LCS 北美春季赛
HotshotGG,CLG,2.8,2013 LCS 北美春季赛
Link,CLG,4.4,2013 LCS 北美春季赛
Link,CLG,4.3,2013 LCS 北美春季赛
Doublelift,CLG,4.0,2013 LCS 北美春季赛
Doublelift,CLG,3.3,2013 LCS 北美春季赛
Chauster,CLG,2.8,2013 LCS 北美春季赛
Saintvicious,CRS,3.9,2013 LCS 北美春季赛
Cop,CRS,8.1,2013 LCS 北美春季赛
NyJacky,CRS,4.2,2013 LCS 北美春季赛
Elementz,CRS,5.3,2013 LCS 北美春季赛
Voyboy,CRS,4.0,2013 LCS 北美春季赛
Rhux,CRS,3.3,2013 LCS 北美春季赛
pr0lly,COW,3.4,2013 LCS 北美春季赛
Chuuper,COW,2.4,2013 LCS 北美春季赛
Brunch ?,COW,3.4,2013 LCS 北美春季赛
Brunch ?,COW,3.1,2013 LCS 北美春季赛
Lautemortis,COW,2.6,2013 LCS 北美春季赛
M eye A,COW,3.4,2013 LCS 北美春季赛
M eye A,COW,2.8,2013 LCS 北美春季赛
Nickwu,COW,2.9,2013 LCS 北美春季赛
Xmithie,XDG,2.9,2013 LCS 北美春季赛
Benny,XDG,3.1,2013 LCS 北美春季赛
Zuna,XDG,3.5,2013 LCS 北美春季赛
mancloud,XDG,3.8,2013 LCS 北美春季赛
BloodWater,XDG,6.2,2013 LCS 北美春季赛
Muffinqt,XDG,2.7,2013 LCS 北美春季赛
Inori,XDG,3.8,2013 LCS 北美春季赛
Darshan,CST,3.3,2013 LCS 北美春季赛
Mash,CST,3.7,2013 LCS 北美春季赛
Mash,CST,3.9,2013 LCS 北美春季赛
NintendudeX,CST,3.3,2013 LCS 北美春季赛
Daydreamin,CST,2.8,2013 LCS 北美春季赛
Anjo,CST,3.4,2013 LCS 北美春季赛
Shiphtur,CST,5.3,2013 LCS 北美春季赛
BloodWater,CST,6.4,2013 LCS 北美春季赛
BloodWater,CST,3.8,2013 LCS 北美春季赛
Jintae,CST,2.6,2013 LCS 北美春季赛
Jintae,CST,3.2,2013 LCS 北美春季赛
Jintae,CST,2.9,2013 LCS 北美春季赛
Fat,CST,1.5,2013 LCS 北美春季赛
ClakeyD,Team MRN,2.1,2013 LCS 北美春季赛
AtomicN,Team MRN,0.9,2013 LCS 北美春季赛
AtomicN,Team MRN,2.6,2013 LCS 北美春季赛
Nientonsoh,Team MRN,3.2,2013 LCS 北美春季赛
MegaZero,Team MRN,3.1,2013 LCS 北美春季赛
ecco,Team MRN,3.7,2013 LCS 北美春季赛
Heartbeat,Team MRN,1.1,2013 LCS 北美春季赛
Heartbeat,Team MRN,3.0,2013 LCS 北美春季赛
Nysyli,Team MRN,0.8,2013 LCS 北美春季赛
Chaox,TSM,3.8,2013 LCS 北美春季赛
Reginald,TSM,3.6,2013 LCS 北美春季赛
WildTurtle,TSM,4.0,2013 LCS 北美春季赛
WildTurtle,TSM,5.8,2013 LCS 北美春季赛
TheOddOne,TSM,5.4,2013 LCS 北美春季赛
Dyrus,TSM,5.4,2013 LCS 北美春季赛
Xpecial,TSM,5.9,2013 LCS 北美春季赛
Xpecial,TSM,3.7,2013 LCS 北美春季赛
Crumbzz,DIG,3.8,2013 LCS 北美春季赛
Scarra,DIG,1.3,2013 LCS 北美春季赛
Scarra,DIG,4.4,2013 LCS 北美春季赛
Imaqtpie,DIG,1.1,2013 LCS 北美春季赛
Imaqtpie,DIG,5.7,2013 LCS 北美春季赛
DJ Lambo,DIG,2.8,2013 LCS 北美春季赛
Kiwikid,DIG,3.4,2013 LCS 北美春季赛
Patoy,DIG,2.3,2013 LCS 北美春季赛
Patoy,DIG,8.0,2013 LCS 北美春季赛
Aphromoo,CLG,4.4,2014 LCS 北美春季赛
dexter,CLG,3.8,2014 LCS 北美春季赛
HotshotGG,CLG,1.5,2014 LCS 北美春季赛
Nientonsoh,CLG,3.5,2014 LCS 北美春季赛
Link,CLG,2.7,2014 LCS 北美春季赛
Link,CLG,5.2,2014 LCS 北美春季赛
Doublelift,CLG,4.9,2014 LCS 北美春季赛
Chauster,CLG,4.2,2014 LCS 北美春季赛
Saintvicious,CRS,1.9,2014 LCS 北美春季赛
Cop,CRS,5.7,2014 LCS 北美春季赛
Bunny FuFuu,CRS,3.0,2014 LCS 北美春季赛
Voyboy,CRS,3.0,2014 LCS 北美春季赛
IWDominate,CRS,2.4,2014 LCS 北美春季赛
Zekent,CRS,3.2,2014 LCS 北美春季赛
Quas,CRS,3.1,2014 LCS 北美春季赛
Xmithie,XDG,1.8,2014 LCS 北美春季赛
Xmithie,XDG,3.0,2014 LCS 北美春季赛
Benny,XDG,2.3,2014 LCS 北美春季赛
Zuna,XDG,2.4,2014 LCS 北美春季赛
Zuna,XDG,1.9,2014 LCS 北美春季赛
Zuna,XDG,0.6,2014 LCS 北美春季赛
mancloud,XDG,2.1,2014 LCS 北美春季赛
BloodWater,XDG,2.1,2014 LCS 北美春季赛
Sheep,XDG,1.8,2014 LCS 北美春季赛
Nickwu,XDG,0.9,2014 LCS 北美春季赛
Darshan,CST,2.4,2014 LCS 北美春季赛
NintendudeX,CST,1.8,2014 LCS 北美春季赛
Daydreamin,CST,2.0,2014 LCS 北美春季赛
Shiphtur,CST,4.7,2014 LCS 北美春季赛
Apollo,CST,2.7,2014 LCS 北美春季赛
Balls,C9,6.3,2014 LCS 北美春季赛
Hai,C9,4.7,2014 LCS 北美春季赛
Sneaky,C9,8.5,2014 LCS 北美春季赛
LemonNation,C9,4.8,2014 LCS 北美春季赛
Meteos,C9,8.4,2014 LCS 北美春季赛
ROBERTxLEE,EG,0.7,2014 LCS 北美春季赛
Innox,EG,2.3,2014 LCS 北美春季赛
ExecutionerKen,EG,1.1,2014 LCS 北美春季赛
Thinkcard,EG,0.4,2014 LCS 北美春季赛
Pobelter,EG,2.0,2014 LCS 北美春季赛
Snoopeh,EG,2.4,2014 LCS 北美春季赛
Yellowpete,EG,3.2,2014 LCS 北美春季赛
,EG,2.2,2014 LCS 北美春季赛
Reginald,TSM,6.2,2014 LCS 北美春季赛
WildTurtle,TSM,5.7,2014 LCS 北美春季赛
Bjergsen,TSM,5.6,2014 LCS 北美春季赛
TheOddOne,TSM,4.0,2014 LCS 北美春季赛
Dyrus,TSM,5.0,2014 LCS 北美春季赛
Xpecial,TSM,4.2,2014 LCS 北美春季赛
Crumbzz,DIG,3.0,2014 LCS 北美春季赛
Scarra,DIG,2.6,2014 LCS 北美春季赛
Imaqtpie,DIG,4.1,2014 LCS 北美春季赛
Cruzerthebruzer,DIG,3.0,2014 LCS 北美春季赛
Kiwikid,DIG,2.7,2014 LCS 北美春季赛
Goldenglue,DIG,3.8,2014 LCS 北美春季赛
Aphromoo,CLG,3.3,2014 LCS 北美夏季赛
Seraph,CLG,2.2,2014 LCS 北美夏季赛
Chaox,CLG,2.2,2014 LCS 北美夏季赛
dexter,CLG,3.3,2014 LCS 北美夏季赛
Thinkcard,CLG,2.1,2014 LCS 北美夏季赛
HotshotGG,CLG,4.0,2014 LCS 北美夏季赛
Nientonsoh,CLG,1.7,2014 LCS 北美夏季赛
Link,CLG,3.9,2014 LCS 北美夏季赛
BIG,CLG,1.5,2014 LCS 北美夏季赛
Doublelift,CLG,4.0,2014 LCS 北美夏季赛
Cop,CRS,5.1,2014 LCS 北美夏季赛
Voyboy,CRS,3.2,2014 LCS 北美夏季赛
IWDominate,CRS,3.1,2014 LCS 北美夏季赛
